plantMASST	NCBI_Genome	Transcriptome
Phyllolobium chinense		Curcuma longa
Phyllanthus pulcher		Curcuma alismatifolia
Phyllanthus niruri		Curculigo orchioides
Phyllanthus brasiliensis		Cupressus sempervirens
Phyllanthus acidus		Cupressus duclouxiana
Phyla scaberrima		Cunonia capensis
Phyla dulcis		Cullen corylifolium
Phtheirospermum japonicum		Cucurbita pepo
Phragmites australis		Cucurbita moschata
Photinia glabra		Cucurbita melopepo
Phormium tenax		Cucurbita maxima
Phoenix roebelenii		Cucurbita argyrosperma
Phoenix dactylifera		Cucumis sativus
Phoenix canariensis		Cucumis melo
Phoebe tavoyana		Cryptomeria japonica
Phlox paniculata		Crocus sativus
Phlox drummondii		Crepis biennis
Phlox adsurgens		Cremastra appendiculata
Phlomis fruticosa		Crataegus pinnatifida
Phleum pratense		Crataegus laevigata
Philodendron verrucosum		Crambe hispanica
Phillyrea media		Cotinus coggygria
Phillyrea latifolia		Cota tinctoria
Phellodendron amurense		Costus spicatus
Phedimus takesimensis		Cosmos bipinnatus
Phedimus spurius		Coscinium fenestratum
Phaseolus vulgaris		Corymbia citriodora
Phaseolus lunatus		Corylus cornuta
Phaseolus coccineus		Corylus avellana
Phanera ornata		Corylus americana
Phanera aureifolia		Corydalis yanhusuo
Phalaris canariensis		Corokia cotoneaster
Phacelia campanularia		Cornus officinalis
Peumus boldus		Cornus florida
Peucedanum ostruthium		Cornus alternifolia
Peucedanum japonicum		Coriandrum sativum
Petunia x hybrida		Coreopsis tinctoria
Petunia exserta		Coreopsis lanceolata
Petunia axillaris		Corchorus olitorius
Petroselinum crispum		Corchorus capsularis
Petrosedum forsterianum		Coptis omeiensis
Petersianthus macrocarpus		Copaifera langsdorffii
Petasites hybridus		Convallaria majalis
Persicaria tenella		Conioselinum officinale
Persicaria orientalis		Combretum indicum
Persicaria chinensis		Colocasia esculenta
Persea subcordata		Coleus amboinicus
Persea sphaerocarpa		Coix lacryma-jobi
Persea areolatocostae		Coffea canephora
Persea americana		Coffea arabica
Perilla frutescens		Codonopsis pilosula
Pereskia grandifolia		Codonopsis lanceolata
Perebea guianensis		Cocos nucifera
Peracarpa carnosa		Cocculus trilobus
Peperomia pellucida		Coccinia grandis
Peperomia obtusifolia		Clusia rosea
Pentanema britannica		Clivia miniata
Penstemon hirsutus		Clitoria ternatea
Penstemon hartwegii		Clerodendrum chinense
Penstemon eatonii		Clematis vitalba
Penstemon davidsonii		Clematis brevicaudata
Penstemon calycosus		Clematis apiifolia
Pelargonium graveolens		Clematis alpina
Peixotoa tomentosa		Cladrastis kentukea
Peixotoa reticulata		Citrus x limon
Peixotoa hispidula		Citrus x aurantium
Peixotoa glabra		Citrus x aurantiifolia
Peixotoa cordistipula		Citrus unshiu
Peganum harmala		Citrus trifoliata
Pediomelum aromaticum		Citrus sinensis
Pedicularis henryi		Citrus reticulata
Payena leerii		Citrus limonia
Pavetta indica		Citrus japonica
Paulownia tomentosa		Citrus hystrix
Paulownia fortunei		Citrus cavaleriei
Paullinia cupana		Citrus bergamia
Patrinia scabiosifolia		Citrullus lanatus
Pastinaca sativa		Citrullus colocynthis
Passiflora yucatanensis		Cistanthe grandiflora
Passiflora vitifolia		Cistanche deserticola
Passiflora tenuiloba		Cissus rotundifolia
Passiflora talamancensis		Cirsium arvense
Passiflora suberosa		Cinnamomum verum
Passiflora speciosa		Cinnamomum camphora
Passiflora quadriglandulosa		Cinnamomum burmanni
Passiflora quadrangularis		Cinnamomum aromaticum
Passiflora pittieri		Cinchona calisaya
Passiflora oerstedii		Cichorium intybus
Passiflora nitida		Cichorium endivia
Passiflora nephrodes		Cicer arietinum
Passiflora mexicana		Cibotium barometz
Passiflora menispermifolia		Chrysopogon zizanioides
Passiflora lutea		Chrysanthemum x morifolium
Passiflora lobata		Chrysanthemum indicum
Passiflora incarnata		Chromolaena odorata
Passiflora hastifolia		Chlorogalum pomeridianum
Passiflora foetida		Chenopodium quinoa
Passiflora filipes		Chelidonium majus
Passiflora edulis		Chamaenerion angustifolium
Passiflora costaricensis		Chamaemelum nobile
Passiflora coriacea		Cercocarpus ledifolius
Passiflora caerulea		Cercis canadensis
Passiflora bryonioides		Cercidiphyllum japonicum
Passiflora biflora		Ceratozamia mexicana
Passiflora auriculata		Ceratophyllum demersum
Passiflora arbelaezii		Ceratonia siliqua
Passiflora ambigua		Cerastium alpinum
Passiflora affinis		Cephalotaxus harringtonia
Passiflora adenopoda		Centella asiatica
Paspalum vaginatum		Centaurea montana
Paspalum scrobiculatum		Centaurea jacea
Paspalum notatum		Centaurea cyanus
Parryella filifolia		Cenchrus americanus
Paronychia argentea		Celtis occidentalis
Parochetus communis		Celosia argentea
Parnassia palustris		Celastrus orbiculatus
Parmentiera aculeata		Ceanothus americanus
Parkia pendula		Catharanthus roseus
Parkia nitida		Catharanthus ovalis
Paris verticillata		Catha edulis
Parinari occidentalis		Casuarina equisetifolia
Parietaria officinalis		Castanea mollissima
Parietaria judaica		Castanea dentata
Parameria laevigata		Castanea crenata
Paralychnophora reflexoauriculata		Casearia arborea
Paralychnophora harleyi		Carya illinoinensis
Paralychnophora bicolor		Carya glabra
Paralychnophora atkinsiae		Carum carvi
Paraboea rufescens		Carthamus tinctorius
Papaver somniferum		Carpinus betulus
Papaver rhoeas		Carica papaya
Papaver nudicaule		Cardamine pratensis
Papaver bracteatum		Carapichea ipecacuanha
Papaver atlanticum		Carallia brachiata
Papaver armeniacum		Capsicum frutescens
Panicum virgatum		Capsicum chinense
Panicum miliaceum		Capsicum baccatum
Panicum hallii		Capsicum annuum
Pandanus odoratissimus		Capparis spinosa
Pandanus amaryllifolius		Cannabis sativa
Pancovia laurentii		Canna indica
Panax notoginseng		Canella winterana
Panax ginseng		Canarium album
Palicourea pubescens		Campsis grandiflora
Palicourea deflexa		Camellia sinensis
Palicourea cyanococca		Camellia japonica
Palicourea colorata		Camelina sativa
Palicourea brachiata		Calycanthus floridus
Palicourea acuminata		Calycanthus chinensis x Calycanthus floridus
Palaquium annamense		Calophyllum longifolium
Paeonia suffruticosa		Calophyllum inophyllum
Paeonia lactiflora		Calophyllum brasiliense
Paeonia delavayi		Calluna vulgaris
Paeonia anomala		Callistephus chinensis
Pachystachys spicata		Callicarpa bodinieri
Pachystachys lutea		Callicarpa americana
Pachyrhizus erosus		Calendula officinalis
Pachypodium succulentum		Cajanus cajan
Pachypodium horombense		Byrsonima spicata
Pachira insignis		Buxus sempervirens
Pachira aquatica		Buphthalmum salicifolium
Oxyspora paniculata		Buglossoides arvensis
Oxandra espintana		Buddleja officinalis
Oxalis triangularis		Bryonia cretica
Ouratea lucens		Brunfelsia grandiflora
Ottochloa nodosa		Bruguiera cylindrica
Ottelia alismoides		Brugmansia suaveolens
Ostrya virginiana		Brucea javanica
Ostericum grosseserratum		Browallia americana
Osmanthus yunnanensis		Broussonetia papyrifera
Osmanthus fragrans		Brosimum alicastrum
Oryza sativa		Brassica rapa
Oryza longistaminata		Brassica oleracea
Oryza glaberrima		Brassica nigra
Oryza barthii		Brassica napus
Orostachys japonica		Brassica juncea
Orobanche hederae		Brassica cretica
Orobanche coerulescens		Brassica carinata
Ornithogalum saundersiae		Brachythecium rutabulum
Ormosia henryi		Brachypodium distachyon
Origanum vulgare		Bouteloua gracilis
Origanum syriacum		Bougainvillea spectabilis
Origanum scabrum		Boswellia sacra
Origanum majorana		Borassus flabellifer
Oreoherzogia fallax		Borago officinalis
Orchidantha maxillarioides		Bombax ceiba
Opuntia streptacantha		Boehmeria nivea
Opuntia ficus-indica		Bletilla striata
Opuntia engelmannii		Bixa orellana
Operculicarya pachypus		Bistorta officinalis
Operculicarya decaryi		Bischofia javanica
Onopordum acanthium		Bidens tripartita
Ononis spinosa		Bidens pilosa
Onoclea sensibilis		Betula pubescens
Onobrychis viciifolia		Betula platyphylla
Olea europaea		Betula pendula
Olax imbricata		Betula papyrifera
Oenothera speciosa		Betula alleghaniensis
Oenothera macrocarpa		Betonica officinalis
Oenothera lamarckiana		Beta vulgaris
Oenothera biennis		Bertholletia excelsa
Oenocarpus mapora		Berberis thunbergii
Ocotea whitei		Berberis aquifolium
Ocotea purpurea		Benincasa hispida
Ocotea puberula		Bellis perennis
Ocotea oblonga		Beilschmiedia pendula
Ocotea floribunda		Bauhinia variegata
Ocotea cernua		Bauhinia tomentosa
Ocotea aciphylla		Bauhinia purpurea
Ocimum tenuiflorum		Bauhinia forficata
Ocimum basilicum		Bassia scoparia
Ochrosia elliptica		Basella alba
Ochna multiflora		Ballota nigra
Ochna integerrima		Azadirachta indica
Nyssa sylvatica		Avicennia officinalis
Nyssa sinensis		Averrhoa carambola
Nymphaea nouchali		Avenula pubescens
Nymphaea lotus		Avena sativa
Nymphaea alba		Avena nuda
Nuphar japonica		Avena barbata
Nothofagus obliqua		Aucuba japonica
Nordenstamia repanda		Atropa belladonna
Nigella damascena		Atriplex hortensis
Niedenzuella stannea		Atractylodes macrocephala
Niedenzuella sericea		Atractylodes lancea
Niedenzuella poeppigiana		Astragalus sinicus
Niedenzuella multiglandulosa		Astragalus propinquus
Niedenzuella acutifolia		Astragalus membranaceus
Nicotiana tomentosiformis		Astragalus glycyphyllos
Nicotiana tabacum		Astragalus canadensis
Nicotiana sylvestris		Aster tataricus
Nicotiana rustica		Asplenium platyneuron
Nicotiana occidentalis		Asparagus officinalis
Nicotiana megalosiphon		Asparagus cochinchinensis
Nicotiana glauca		Asclepias curassavica
Nicotiana benthamiana		Asarum heterotropoides
Nicotiana attenuata		Aruncus dioicus
Nicotiana alata		Artocarpus nitidus
Nicandra physalodes		Artocarpus heterophyllus
Neustanthus phaseoloides		Artocarpus altilis
Nerium oleander		Artemisia scoparia
Neptunia lutea		Artemisia ludoviciana
Nephrolepis exaltata		Artemisia capillaris
Nephrolepis biserrata		Artemisia argyi
Nephroia orbiculata		Artemisia annua
Nepeta x faassenii		Artemisia absinthium
Nepeta grandiflora		Arrhenatherum elatius
Nepeta cataria		Aronia melanocarpa
Nepenthes x hookeriana		Arnica montana
Nepenthes ventricosa x Nepenthes alata		Armoracia rusticana
Nepenthes rafflesiana		Aristolochia tagala
Nepenthes ampullaria		Aristolochia fimbriata
Neoregelia carolinae		Aristolochia californica
Neolitsea sericea		Arisaema heterophyllum
Neocinnamomum delavayi		Arisaema franchetianum
Neoblechnum brasiliense		Argentina anserina
Neobeguea mahafalensis		Argemone mexicana
Nemophila menziesii		Areca catechu
Nelumbo nucifera		Ardisia crenata
Neltuma laevigata		Arctium lappa
Neea hermaphrodita		Arbutus unedo
Nectandra laurel		Arachis stenosperma
Nectandra cissiflora		Arachis ipaensis
Nectandra acutifolia		Arachis hypogaea
Nauclea orientalis		Arabis hirsuta
Nauclea officinalis		Arabis alpina
Narthecium californicum		Arabidopsis thaliana
Nardostachys jatamansi		Arabidopsis lyrata
Nandina domestica		Aquilegia vulgaris
Myrtus communis		Aquilegia coerulea
Myrsine semiserrata		Aquilaria agallochum
Myrsine coriacea		Apium graveolens
Myroxylon peruiferum		Apios americana
Myrocarpus venezuelensis		Aphanamixis polystachya
Myristica fragrans		Antigonon leptopus
Myrcia sylvatica		Anthyllis vulneraria
Myrcia multiflora		Anthurium andraeanum
Myrcia fallax		Anthriscus sylvestris
Myrcia bracteata		Anthoxanthum odoratum
Myracrodruon urundeuva		Annona muricata
Myosoton aquaticum		Annona cherimola
Myoporum tetrandrum		Angelica gigas
Myoporum sandwicense		Angelica dahurica
Myoporum platycarpum		Angelica archangelica
Myoporum parvifolium		Anethum foeniculum
Myoporum montanum		Anemarrhena asphodeloides
Myoporum insulare		Andrographis paniculata
Myoporum caprarioides		Anchusa officinalis
Myoporum brevipes		Anchusa capensis
Myoporum boninense		Ananas comosus
Myoporum betcheanum		Anacardium occidentale
Myoporum bateae		Amorphophallus paeoniifolius
Myoporum acuminatum		Amorphophallus konjac
Mutarda arvensis		Amorphophallus bulbifer
Mussaenda rehderiana		Amorpha fruticosa
Mussaenda cambodiana		Amelanchier canadensis
Musanga cecropioides		Amelanchier alnifolia
Musa velutina		Amburana cearensis
Musa basjoo		Ambrosia artemisiifolia
Musa acuminata		Amaranthus tuberculatus
Murraya koenigii		Amaranthus tricolor
Mucuna pruriens		Amaranthus retroflexus
Mouriri myrtilloides		Amaranthus hypochondriacus
Moullava digyna		Amaranthus hybridus
Mostuea brunonis		Amaranthus cruentus
Morus rubra		Althaea officinalis
Morus nigra		Alternanthera bettzickiana
Morus alba		Alpinia oxyphylla
Moringa oleifera		Alpinia officinarum
Moringa hildebrandtii		Aloe vera
Moringa drouhardii		Alnus glutinosa
Morinda citrifolia		Alluaudia procera
Morina longifolia		Allium ursinum
Morella pensylvanica		Allium tuberosum
Monteverdia ilicifolia		Allium schoenoprasum
Monteverdia floribunda		Allium sativum
Monstera deliciosa		Allium cepa
Monarda russeliana		Allium ampeloprasum
Monarda punctata		Allionia incarnata
Monarda fistulosa		Alliaria petiolata
Monarda citriodora		Alisma plantago-aquatica
Monarda bradburiana		Alchemilla mollis
Momordica cochinchinensis		Alchemilla alpina
Momordica charantia		Alcea rosea
Mollinedia ovata		Albizia julibrissin
Mitragyna speciosa		Akebia quinata
Mitragyna diversifolia		Ailanthus altissimus
Mischocarpus pentapetalus		Agrostemma githago
Miscanthus floridulus		Agrimonia pilosa
Mirabilis jalapa		Aglaonema commutatum
Minasia scapigera		Aglaomorpha fortunei
Minasia alpestris		Aglaomorpha bonii
Mimosa pudica		Ageratum conyzoides
Millettia congestiflora		Agave tequilana
Mikania glomerata		Agave sisalana
Mikania cordifolia		Agave bracteosa
Microsorum musifolium		Agastache rugosa
Micromelum hirsutum		Agapanthus praecox
Microgramma lycopodioides		Aegopodium podagraria
Microcos tomentosa		Aegle marmelos
Miconia trichocalyx		Aegilops speltoides
Miconia theaezans		Adenophora triphylla
Miconia splendens		Adansonia digitata
Miconia quadrialata		Actinidia deliciosa
Miconia punctata		Actinidia chinensis
Miconia prasina		Actaea racemosa
Miconia poeppigii		Acorus gramineus
Miconia octona		Acorus calamus
Miconia nervosa		Aconitum kusnezoffii
Miconia multispicata		Aconitum carmichaelii
Miconia incachacana		Achyranthes bidentata
Miconia impetiolaris		Achillea ptarmica
Miconia hondurensis		Achillea millefolium
Miconia hispidula		Achillea asiatica
Miconia elata		Acer wilsonii
Miconia dorsiloba		Acer saccharum
Miconia dolichorrhyncha		Acer rubrum
Miconia dentata		Acer platanoides
Miconia crenata		Acer pictum
Miconia chrysophylla		Acer negundo
Miconia centrodesma		Acer fabri
Miconia boliviensis		Acer campestre
Miconia biacuta		Acanthus mollis
Miconia bangii		Acanthus ilicifolius
Miconia aureoides		Acacia crassicarpa
Miconia argentea		Abies lasiocarpa
Miconia amnicola		Abies alba
Miconia albicans		Abelmoschus manihot
Miconia affinis		Abelmoschus esculentus
Metasequoia glyptostroboides		
Mespilodaphne cymbarum		
Mesembryanthemum cordifolium		
Mercurialis perennis		
Mercurialis annua		
Menyanthes trifoliata		
Mentha suaveolens		
Mentha spicata		
Mentha canadensis		
Mentha arvensis		
Mentha aquatica		
Melothria scabra		
Melodinus cochinchinensis		
Melochia umbellata		
Melissa officinalis		
Meliosma solomonii		
Melilotus officinalis		
Melilotus albus		
Melicope pteleifolia		
Melia azedarach		
Melastoma saigonense		
Melaleuca leucadendra		
Melaleuca alternifolia		
Megistostegium perrieri		
Megistostegium nodulosum		
Megistostegium microphyllum		
Megathyrsus maximus		
Medinilla magnifica		
Medicago truncatula		
Medicago sativa		
Medicago lupulina		
Mcvaughia bahiana		
Maytenus undata		
Maytenus guyanensis		
Mayaca fluviatilis		
Mauritia flexuosa		
Matricaria chamomilla		
Matayba arborescens		
Maschalostachys markgrafii		
Mascagnia sepium		
Martynia annua		
Marsilea quadrifolia		
Marsdenia verrucosa		
Marsdenia floribunda		
Marrubium vulgare		
Markhamia stipulata		
Marila laxiflora		
Margaritaria nobilis		
Marchantia polymorpha		
Maranta leuconeura		
Maranta arundinacea		
Maquira guianensis		
Mannia fragrans		
Manilkara zapota		
Manihot esculenta		
Mangifera pentandra		
Mangifera indica		
Mangifera duperreana		
Mammea americana		
Malvaviscus arboreus		
Malva verticillata		
Malva sylvestris		
Malva neglecta		
Malus sylvestris		
Malus sieversii		
Malus pumila		
Malus niedzwetzkyana		
Malus floribunda		
Malus domestica		
Malpighia mexicana		
Mallotus paniculatus		
Mallotus oppositifolius		
Mallotus nudiflorus		
Malania oleifera		
Maianthemum dilatatum		
Magnolia virginiana		
Magnolia officinalis		
Magnolia obovata		
Magnolia kobus		
Magnolia grandiflora		
Magnolia denudata		
Magnolia delavayi		
Macrosolen cochinchinensis		
Maclura tricuspidata		
Maclura cochinchinensis		
Macleaya microcarpa		
Macleaya cordata		
Machaerium nyctitans		
Machaerium hirtum		
Macadamia jansenii		
Macadamia integrifolia		
Lythrum salicaria		
Lysimachia foenum-graecum		
Lysimachia christinae		
Lygodium salicifolium		
Lygodium palmatum		
Lygodium japonicum		
Lycopus lucidus		
Lycopodium clavatum		
Lycium chinense		
Lycium barbarum		
Lychnophorella triflora		
Lychnophorella santosii		
Lychnophorella regis		
Lychnophorella bishopii		
Lychnophora villosissima		
Lychnophora uniflora		
Lychnophora tomentosa		
Lychnophora sp. BL-2014b		
Lychnophora souzae		
Lychnophora salicifolia		
Lychnophora pinaster		
Lychnophora passerina		
Lychnophora hatschbachii		
Lychnophora granmogolensis		
Lychnophora gardneri		
Lychnophora ericoides		
Lychnophora diamantinana		
Lychnophora damazioi		
Lychnophora crispa		
Lychnophora candelabrum		
Lychnophora brunioides		
Lychnocephalus sellowii		
Lupinus luteus		
Lupinus albus		
Lunaria annua		
Luffa operculata		
Luffa aegyptiaca		
Luffa acutangula		
Luehea seemannii		
Ludwigia decurrens		
Ludwigia adscendens		
Lovoa trichilioides		
Lotus tetragonolobus		
Lotus maritimus		
Lotus corniculatus		
Loropetalum chinense		
Lophatherum gracile		
Lonicera xylosteum		
Lonicera tatarica		
Lonicera maackii		
Lonicera ligustrina		
Lonicera japonica		
Lolium rigidum		
Lolium perenne		
Lolium multiflorum		
Loeseneriella urceolus		
Loeseneriella concinna		
Lobularia maritima		
Lobelia siphilitica		
Lobelia seguinii		
Lobelia chinensis		
Lobelia cardinalis		
Litsea monopetala		
Lithospermum erythrorhizon		
Lithospermum caroliniense		
Lithocarpus litseifolius		
Lithocarpus elegans		
Litchi chinensis		
Liriope muscari		
Liriodendron tulipifera		
Liquidambar styraciflua		
Liquidambar formosana		
Lippia graveolens		
Lippia alba		
Linum usitatissimum		
Linum trigynum		
Linum perenne		
Linum grandiflorum		
Linum flavum		
Lindera obtusiloba		
Lindera benzoin		
Lindera aggregata		
Lindenbergia philippensis		
Linaria vulgaris		
Linaria buriatica		
Limonia acidissima		
Limnanthes douglasii		
Lilium lancifolium		
Lilium hansonii		
Lilium brownii		
Ligustrum vulgare		
Ligustrum lucidum		
Licuala grandis		
Libidibia ferrea		
Liatris spicata		
Levisticum officinale		
Leuzea uniflora		
Leuzea rhapontica		
Leuzea cynaroides		
Leuzea centauroides		
Leucophyllum zygophyllum		
Leucophyllum frutescens		
Leucanthemum vulgare		
Leucaena leucocephala		
Lespedeza hirta		
Lespedeza capitata		
Leptochilus decurrens		
Leptadenia reticulata		
Lepisorus thunbergianus		
Lepisorus fortuni		
Lepisanthes tetraphylla		
Lepidoceras chilense		
Lepidium sativum		
Lepidium meyenii		
Lepidium apetalum		
Leonurus cardiaca		
Leontopodium nivale		
Leontodon hispidus		
Leonotis nepetifolia		
Lens culinaris		
Leersia hexandra		
Lavandula lanata		
Lavandula dentata		
Lavandula angustifolia		
Laurus nobilis		
Lathyrus vernus		
Lathyrus sativus		
Lathyrus pratensis		
Lathyrus oleraceus		
Lathyrus latifolius		
Larix laricina		
Larix decidua		
Lapsana communis		
Laportea oligoloba		
Laportea interrupta		
Lapageria rosea		
Lanxangia tsao-ko		
Lannea coromandelica		
Lamium purpureum		
Lamium album		
Laggera pterodonta		
Lagenaria siceraria		
Ladenbergia oblongifolia		
Ladenbergia carua		
Lactuca virosa		
Lactuca sativa		
Lactuca saligna		
Lactuca perennis		
Lacistema aggregatum		
Lachesiodendron viridiflorum		
Laburnum anagyroides		
Lablab purpureus		
Kummerowia striata		
Krugiodendron ferreum		
Krascheninnikovia lanata		
Knema globularia		
Knautia arvensis		
Kitagawia praeruptora		
Kirganelia castica		
Kielmeyera paniculata		
Khaya senegalensis		
Kerria japonica		
Karwinskia calderonii		
Kalopanax septemlobus		
Kalmia latifolia		
Kalanchoe linearifolia		
Kalanchoe delagoensis		
Kalanchoe arborescens		
Kadsura interior		
Kadsura coccinea		
Justicia spicigera		
Justicia calycina		
Jupunba trapezifolia		
Juniperus virginiana		
Juniperus thurifera		
Juniperus scopulorum		
Juniperus sabina		
Juniperus oxycedrus		
Juniperus horizontalis		
Juniperus communis		
Juncus effusus		
Juncus decipiens		
Juglans sigillata		
Juglans regia		
Juglans nigra		
Juglans cinerea		
Juglans cathayensis		
Juglans boliviana		
Jeffersonia diphylla		
Jatropha podagrica		
Jatropha multifida		
Jasminum sambac		
Jasminum polyanthum		
Jasminum nervosum		
Janusia schwannioides		
Janusia mediterranea		
Janusia janusioides		
Jacobaea vulgaris		
Jacaranda mimosifolia		
Jacaranda copaia		
Ixiolirion tataricum		
Ixeris chinensis		
Itea japonica		
Isoetes lacustris		
Isodon ternifolius		
Isodon japonicus		
Isertia coccinea		
Ischnosiphon inflatus		
Isatis tinctoria		
Irvingia malayana		
Iris tenuifolia		
Iris sibirica		
Iris pseudacorus		
Iris pallida		
Iris lactea		
Iris germanica		
Iris domestica		
Ipomoea triloba		
Ipomoea tricolor		
Ipomoea quamoclit		
Ipomoea purpurea		
Ipomoea nil		
Ipomoea lobata		
Ipomoea batatas		
Ipomoea asarifolia		
Inula japonica		
Inula helenium		
Inula conyza		
Inga vera		
Inga umbellifera		
Inga thibaudiana		
Inga striata		
Inga spectabilis		
Inga sapindoides		
Inga ruiziana		
Inga punctata		
Inga pezizifera		
Inga oerstediana		
Inga obidensis		
Inga nobilis		
Inga multinervis		
Inga multijuga		
Inga mucuna		
Inga microcoma		
Inga marginata		
Inga leiocalycina		
Inga laurina		
Inga heterophylla		
Inga goldmanii		
Inga edulis		
Inga cylindrica		
Inga coruscans		
Inga cocleensis		
Inga chartacea		
Inga capitata		
Inga brachystachys		
Inga auristellae		
Inga alba		
Inga alata		
Inga acuminata		
Inga acreana		
Indocypraea montana		
Indigofera tinctoria		
Indigofera suffruticosa		
Indigofera atriceps		
Indigofera amblyantha		
Imperata cylindrica		
Impatiens balsamina		
Impatiens auricoma		
Illicium verum		
Illicium micranthum		
Ilex verticillata		
Ilex szechwanensis		
Ilex paraguariensis		
Ilex opaca		
Ilex macrocarpa		
Ilex corallina		
Ilex aquifolium		
Ichnocarpus frutescens		
Hyptis crenata		
Hyptis capitata		
Hyptis brevipes		
Hyptis brachiata		
Hyptidendron arboreum		
Hypochaeris radicata		
Hypnum cupressiforme		
Hypericum triquetrifolium		
Hypericum perforatum		
Hypericum patulum		
Hypericum olympicum		
Hypericum montanum		
Hypericum kalmianum		
Hypericum hookerianum		
Hypericum hirsutum		
Hyoscyamus niger		
Hymenopyramis brachiata		
Hymenodictyon flaccidum		
Hymenocardia punctata		
Hymenocallis littoralis		
Hymenaea oblongifolia		
Hymenaea courbaril		
Hylotelephium telephium		
Hylotelephium erythrostictum		
Hylodesmum glutinosum		
Hydrocotyle umbellata		
Hydrocharis dubia		
Hydrangea robusta		
Hydrangea quercifolia		
Hydrangea macrophylla		
Hydrangea anomala		
Hydnophytum simplex		
Hydnophytum formicarum		
Hydnocarpus castaneus		
Hyacinthoides non-scripta		
Hura crepitans		
Huperzia serrata		
Humulus scandens		
Humulus lupulus		
Hultholia mimosoides		
Huernia zebrina		
Hovenia dulcis		
Hovenia acerba		
Houttuynia cordata		
Hordeum vulgare		
Hopea pierrei		
Hopea helferi		
Hopea chinensis		
Homonoia riparia		
Homalomena aromatica		
Homalolepis cedron		
Holoptelea integrifolia		
Hololepis pedunculata		
Holodiscus discolor		
Holocalyx balansae		
Holmskioldia sanguinea		
Holcus lanatus		
Holarrhena pubescens		
Holarrhena curtisii		
Hoffmannseggia drepanocarpa		
Hodgsonia macrocarpa		
Hirtella triandra		
Hiraea reclinata		
Hiptage benghalensis		
Hippophae rhamnoides		
Hippocrepis comosa		
Hildaea pallens		
Hieronyma alchorneoides		
Hieracium murorum		
Hibiscus syriacus		
Hibiscus sabdariffa		
Hibiscus ferrugineus		
Hibiscus cannabinus		
Hevea guianensis		
Heuchera sanguinea		
Heteropterys pauciflora		
Heteropterys leschenaultiana		
Heteropterys leona		
Heteropterys laurifolia		
Heteropterys chrysophylla		
Heteropterys byrsonimifolia		
Heteropterys brachiata		
Heteropterys bicolor		
Heterocoma lanuginosa		
Heterocoma gracilis		
Heteranthera zosterifolia		
Hesperomeles ferruginea		
Hesperis matronalis		
Heracleum sphondylium		
Heptapleurum leucanthum		
Heptapleurum delavayi		
Heptapleurum arboricola		
Hepatica nobilis		
Hepatica maxima		
Hemerocallis minor		
Hemerocallis fulva		
Hemerocallis citrina		
Hemarthria compressa		
Helwingia omeiensis		
Hellenia speciosa		
Helleborus orientalis		
Helleborus niger		
Helleborus foetidus		
Helleborus argutifolius		
Heliotropium verdcourtii		
Heliotropium arborescens		
Helicteres lanceolata		
Helicteres isora		
Helicteres hirsuta		
Helicteres angustifolia		
Helicostylis tovarensis		
Helicostylis tomentosa		
Heliconia wagneriana		
Heliconia umbrophila		
Heliconia psittacorum		
Heliconia pogonantha		
Heliconia mathiasiae		
Heliconia latispatha		
Heliconia irrasa		
Heliconia imbricata		
Helichrysum serotinum		
Helianthus tuberosus		
Helianthus radula		
Helianthus annuus		
Helianthemum nummularium		
Helenium autumnale		
Heladena multiflora		
Heisteria concinna		
Hedyosmum scabrum		
Hedyosmum racemosum		
Hedyosmum lechleri		
Hedyosmum cuatrecazanum		
Hedychium gardnerianum		
Hedychium coronarium		
Hedera helix		
Hedera canariensis		
Hechtia texensis		
Haworthiopsis reinwardtii		
Haworthia cooperi		
Harungana madagascariensis		
Harpagophytum procumbens		
Handroanthus serratifolius		
Handroanthus impetiginosus		
Handroanthus guayacan		
Handroanthus chrysanthus		
Hamamelis virginiana		
Hamamelis vernalis		
Halopegia blumei		
Halodule wrightii		
Halleria tetragona		
Haldina cordifolia		
Haematoxylum campechianum		
Gypsophila vaccaria		
Gynoxys mandonii		
Gynostemma pubescens		
Gynostemma pentaphyllum		
Gynochthodes officinalis		
Gynandropsis gynandra		
Gymnotheca chinensis		
Gymnosporia graciliramula		
Gymnosporia buxifolia		
Gymnocladus dioicus		
Gymnanthemum amygdalinum		
Gunnera manicata		
Guilandina bonduc		
Guatteria punctata		
Guatteria dumetorum		
Guarea macrophylla		
Guarea kunthiana		
Guarea guidonia		
Guarea grandifolia		
Guarea bullata		
Guapira opposita		
Guaiacum officinale		
Grona heterophylla		
Griselinia littoralis		
Grimmia pulvinata		
Grevillea robusta		
Graffenrieda limbata		
Graffenrieda emarginata		
Gouania polygama		
Gouania leptostachya		
Gouania javanica		
Gossypium trilobum		
Gossypium tomentosum		
Gossypium stocksii		
Gossypium raimondii		
Gossypium mustelinum		
Gossypium lobatum		
Gossypium klotzschianum		
Gossypium hirsutum		
Gossypium herbaceum		
Gossypium gossypioides		
Gossypium davidsonii		
Gossypium darwinii		
Gossypium barbadense		
Gossypium australe		
Gossypium armourianum		
Gossypium aridum		
Gossypium arboreum		
Gossypium anomalum		
Gordonia fruticosa		
Gonocaryum lobbianum		
Goniothalamus marcanii		
Goniothalamus gabriacianus		
Gongronema napalense		
Goeppertia zebrina		
Goeppertia ornata		
Goeppertia marantifolia		
